geoid,county,state,year,geometry,total_pop,plumbing,percent_lacking_plumbing,name,adi,financial_strength,economic_hardship_and_inequality,educational_attainment
17089,Kane County, Illinois,2023,,514982,192,0.03728285648818794,"Kane County, Illinois",80.15282044113067,128.43368553097278,84.18541608619607,88.4458834448098
17091,Kankakee County, Illinois,2023,,105940,63,0.05946762318293373,"Kankakee County, Illinois",98.02417672319733,102.07083409539672,101.41923547328216,106.89243500835616
51760,Richmond city, Virginia,2023,,229247,50,0.02181053623384384,"Richmond city, Virginia",100.28324897004536,121.40649621021277,123.76158036963518,102.28771417025297
51680,Lynchburg city, Virginia,2023,,79535,0,0,"Lynchburg city, Virginia",105.09260846785259,101.89916975382872,116.97555690231223,107.21877877160377
55025,Dane County, Wisconsin,2023,,575347,256,0.04449488743314903,"Dane County, Wisconsin",70.00656993684908,138.59069584400754,89.29280025936919,121.71526090485007
55027,Dodge County, Wisconsin,2023,,88231,8,0.00906710793258605,"Dodge County, Wisconsin",87.51934408775091,101.39457372471173,84.21954839922257,114.75686337531229
13115,Floyd County, Georgia,2023,,100113,128,0.12785552325871766,"Floyd County, Georgia",106.82098836916148,96.4680776153458,106.23601579727449,88.45053839446369
72061,Guaynabo Municipio, Puerto Rico,2023,,89039,149,0.16734240052111996,"Guaynabo Municipio, Puerto Rico",116.69541718544437,102.0634954393384,128.06339968895128,89.70148527559886
50007,Chittenden County, Vermont,2023,,169481,76,0.04484278473693216,"Chittenden County, Vermont",67.16186028466724,145.26717395387638,87.91854215596766,120.22802524073171
51650,Hampton city, Virginia,2023,,137098,229,0.167033800638959,"Hampton city, Virginia",96.37597558756956,110.50064264824601,109.178024038764,112.0343418491574
55097,Portage County, Wisconsin,2023,,71024,0,0,"Portage County, Wisconsin",85.69871222817801,105.40301469931939,86.87989414570715,119.80718835435658
55139,Winnebago County, Wisconsin,2023,,171735,108,0.06288758843567124,"Winnebago County, Wisconsin",87.38472545199127,102.96934947993374,88.34561563615068,119.93092476846473
16055,Kootenai County, Idaho,2023,,185010,124,0.06702340414031674,"Kootenai County, Idaho",79.2429627500523,121.65479948691788,86.02025465293558,117.93041989899233
55055,Jefferson County, Wisconsin,2023,,85743,0,0,"Jefferson County, Wisconsin",85.60376261041293,109.19531226102549,86.53522721779288,112.2208981105432
18091,LaPorte County, Indiana,2023,,111706,0,0,"LaPorte County, Indiana",99.57434420697847,95.02163548326637,98.36098869152056,109.12117668692163
55131,Washington County, Wisconsin,2023,,138168,200,0.14475131723698684,"Washington County, Wisconsin",70.73722546228177,121.9533996177977,73.9763382672574,124.10671942250846
55073,Marathon County, Wisconsin,2023,,138612,89,0.06420800507892535,"Marathon County, Wisconsin",86.15042867843725,103.92137087219916,83.79414417999917,113.96042055073403
12109,St. Johns County, Florida,2023,,320110,106,0.03311361719408953,"St. Johns County, Florida",61.00264360956593,147.92438651950042,75.486971579482,120.80899124106834
39013,Belmont County, Ohio,2023,,64918,0,0,"Belmont County, Ohio",102.64714167525511,88.25567721552447,100.83770495374398,116.5121725866361
39007,Ashtabula County, Ohio,2023,,96845,330,0.3407506840828127,"Ashtabula County, Ohio",111.79323412200176,87.21019217721802,110.71523899867029,100.41989707720822
09160,Northwest Hills Planning Region, Connecticut,2023,,113463,43,0.0378978169094771,"Northwest Hills Planning Region, Connecticut",76.39259106522755,127.18310159119204,86.84862506738243,117.16953914964128
13285,Troup County, Georgia,2023,,70742,0,0,"Troup County, Georgia",110.04655040381661,96.99860495526337,118.47243171203057,102.16853339354824
12085,Martin County, Florida,2023,,163315,23,0.0140832134219147,"Martin County, Florida",79.99028698836821,128.25937535087115,89.75360486057707,111.93046516443218
12111,St. Lucie County, Florida,2023,,373586,343,0.09181286236636275,"St. Lucie County, Florida",92.59063437074539,114.26336190289433,96.4906663306143,100.01769584222288
05031,Craighead County, Arkansas,2023,,113993,7,0.00614072793943487,"Craighead County, Arkansas",104.71605936863747,97.671177869521415,110.02752372599117,104.47229203537134
42073,Lawrence County, Pennsylvania,2023,,84472,328,0.3882943460554977,"Lawrence County, Pennsylvania",99.59799561644004,92.32055214907459,99.2564319362662,115.62663119538081
13295,Walker County, Georgia,2023,,69489,45,0.06475845097785261,"Walker County, Georgia",104.01067415556425,92.3965368533822,97.86260802373563,94.80423771620521
17179,Tazewell County, Illinois,2023,,129541,22,0.01698304011857249,"Tazewell County, Illinois",86.2150704331942,103.63935657894007,85.39575108807412,118.77202105513877
54061,Monongalia County, West Virginia,2023,,107718,90,0.08355149557177073,"Monongalia County, West Virginia",91.21851910632557,115.9534142078735,107.40478095443727,119.32738121599942
37157,Rockingham County, North Carolina,2023,,92518,0,0,"Rockingham County, North Carolina",110.2024139369597,88.02878601721788,106.35700298930844,95.44414895370133
17099,LaSalle County, Illinois,2023,,108309,0,0,"LaSalle County, Illinois",98.01129329053826,96.16477428958996,97.6296455529208,110.58038556511127
17113,McLean County, Illinois,2023,,170441,0,0,"McLean County, Illinois",83.34226858857562,115.71883108788198,93.61258640564093,123.16863857808642
39155,Trumbull County, Ohio,2023,,200373,392,0.19563514046303643,"Trumbull County, Ohio",108.18132881055534,86.93324980264215,106.74959891941008,107.53848563653024
55071,Manitowoc County, Wisconsin,2023,,81331,48,0.05901808658445119,"Manitowoc County, Wisconsin",92.45052853530531,93.3564152689397,85.84886233805568,114.27158601111971
51810,Virginia Beach city, Virginia,2023,,453649,33,0.00727434646610044,"Virginia Beach city, Virginia",73.68868496547876,134.863301726445,89.29277184440907,119.20495325124536
44003,Kent County, Rhode Island,2023,,171278,0,0,"Kent County, Rhode Island",75.73720688648163,128.9634943964958,86.38209559969143,113.77111252185291
46099,Minnehaha County, South Dakota,2023,,206930,13,0.00628231769197313,"Minnehaha County, South Dakota",84.27620198521971,111.16862475400336,87.18966108318402,111.40578136237045
53063,Spokane County, Washington,2023,,551455,208,0.03771839950675939,"Spokane County, Washington",85.957471319422865,118.61659931915504,97.88891775836977,116.70058615318837
08014,Broomfield County, Colorado,2023,,76860,0,0,"Broomfield County, Colorado",46.69284009815214,173.08975393429213,74.97926824136059,123.0604621015049
37067,Forsyth County, North Carolina,2023,,392921,77,0.01959681462685883,"Forsyth County, North Carolina",98.14333050112258,105.94637811409295,104.59791287950051,103.3257278519168
29051,Cole County, Missouri,2023,,77278,0,0,"Cole County, Missouri",87.68193988098875,105.77029460627432,90.93961172899363,117.7405831486823
39165,Warren County, Ohio,2023,,252148,0,0,"Warren County, Ohio",65.43313626965181,132.11461421511623,71.87031489474958,120.36868521978029
39157,Tuscarawas County, Ohio,2023,,91874,0,0,"Tuscarawas County, Ohio",102.7251447800033,93.28636066404934,100.72074734862618,101.46394440096249
37097,Iredell County, North Carolina,2023,,199710,187,0.09363577186921036,"Iredell County, North Carolina",84.99784442040878,112.72401448036483,86.58571472107195,108.2858891150499
39109,Miami County, Ohio,2023,,110876,46,0.04148778815974602,"Miami County, Ohio",85.34546708928133,103.09222299675055,82.9025120182081,117.36104204391633
39103,Medina County, Ohio,2023,,184042,142,0.07715630127905587,"Medina County, Ohio",74.10531861239227,118.58525481252781,76.22613342843482,120.9930847685022
39169,Wayne County, Ohio,2023,,116510,699,0.5999485022744829,"Wayne County, Ohio",95.23232620800333,97.40162406909192,85.01984351392127,87.32949362331338
41067,Washington County, Oregon,2023,,598865,87,0.01452748115184557,"Washington County, Oregon",65.63343720040606,152.30557234435543,85.88550781386174,106.36231234388755
26111,Midland County, Michigan,2023,,84039,134,0.15944977926914886,"Midland County, Michigan",86.27498044505658,107.27211318069475,89.50305524775881,121.48723464954213
